departingAirportTicker,arrivingAirportTicker,pointType,numberOfPointsReq,cashReq,class,airlineName,isCashRoute,roundTripReq
JFK,FRA,Singapore,20000,1.11,Coach,Singapore,FALSE,FALSE
JFK,FRA,Alaska,20000,1.11,Coach,Delta,FALSE,FALSE
JFK,FRA,AA,22500,1.11,Coach,AA,FALSE,FALSE
JFK,FRA,FlyingBlue,25000,1.11,Coach,Delta,FALSE,FALSE
JFK,FRA,United,30000,1.11,Coach,United,FALSE,FALSE
JFK,CDG,Cash,0,250,Coach,Icelandair,TRUE,TRUE
JFK,AMS,Cash,0,219.5,Coach,KLM,TRUE,TRUE
BOS,LGW,Cash,0,204,Coach,Norwegian Air Shuttle,TRUE,TRUE
BOS,FRA,Cash,0,263,Coach,Lufthansa,TRUE,TRUE
BOS,BCN,Cash,0,330,Coach,TAP,TRUE,TRUE
JFK,BCN,Cash,0,336,Coach,Air Lingus,TRUE,TRUE
JFK,AMS,Cash,0,226,Coach,Delta,TRUE,TRUE
JFK,FCO,Cash,0,343.5,Coach,Aer Lingus,TRUE,TRUE
JFK,MXP,Cash,0,250,Coach,Air France,TRUE,TRUE
JFK,ATH,Cash,0,450,Coach,United,TRUE,TRUE
JFK,ATH,FlyingBlue,25000,1.11,Coach,Air France,FALSE,FALSE
JFK,ATH,United,30000,1.11,Coach,Lufthansa,FALSE,FALSE
JFK,ATH,Delta,30000,1.11,Coach,Air France,FALSE,FALSE
JFK,FCO,Alaska,25000,1.11,Coach,AA,FALSE,FALSE
JFK,FCO,AA,25000,1.11,Coach,Air Berlin,FALSE,FALSE
JFK,FCO,FlyingBlue,25000,1.11,Coach,Air France,FALSE,FALSE
JFK,FCO,United,30000,1.11,Coach,Aer Lingus,FALSE,FALSE
MIA,GIG,Cash,0,375.5,Coach,Avianca,TRUE,TRUE
MIA,LIM,Cash,0,260,Coach,LAN,TRUE,TRUE
MIA,SJO,Cash,0,136.5,Coach,Avianca,TRUE,TRUE
MIA,EZE,Cash,0,451.5,Coach,LAN,TRUE,TRUE
IAH,BZE,Cash,0,130,Coach,United,TRUE,TRUE
LAX,BOG,Cash,0,197,Coach,AA,TRUE,TRUE
MIA,SCL,Cash,0,349,Coach,Avianca,TRUE,TRUE
LAX,PTY,Cash,0,155.5,Coach,AeroMexico,TRUE,TRUE
LAX,MEX,Cash,0,127.5,Coach,AA,TRUE,TRUE
LAX,SJD,Cash,0,149,Coach,AA,TRUE,TRUE
MIA,GIG,AA,30000,1.11,Coach,LAN,FALSE,FALSE
MIA,GIG,FlyingBlue,25000,1.11,Coach,Delta,FALSE,FALSE
MIA,GIG,Avios,25000,1.11,Coach,AA,FALSE,FALSE
MIA,GIG,Delta,37500,1.11,Coach,Delta,FALSE,FALSE
MIA,GIG,United,30000,1.11,Coach,Avianca,FALSE,FALSE
MIA,LIM,Avios,20000,1.11,Coach,AA,FALSE,FALSE
MIA,LIM,AA,20000,1.11,Coach,LAN,FALSE,FALSE
MIA,LIM,FlyingBlue,17500,1.11,Coach,AeroMexico,FALSE,FALSE
MIA,LIM,United,20000,1.11,Coach,Avianca,FALSE,FALSE
MIA,LIM,Delta,27500,1.11,Coach,AeroMexico,FALSE,FALSE
