cardName,issuerName,rewardProvider,curBonusPts,centValueOfPoint,curPointBonusVal,otherPerks,otherPerksTravelCashVal,curBonusVal,travelConvRate,minSpendVal,minSpendMonths,annualFee,annualFeeWaived,personalOrBiz,ftf,signupUrl,useOnCt,curBonusPrctl,minSpendPrctl,annualFeePrctl,overallRank
Wyndham,Barclays,Wyndham,30000,1,300,"6,000 aniversary bonus",0,300,0,1000,3,69,No,Personal,0,0,0,28,69,85,90
Frontier,Barclays,Frontier,40000,1.1,440,0,0,440,0,500,3,69,No,Personal,0.03,0,No,41,85,85,109
Arrival +,Barclays,Arrival,50000,1.025,512.5,0,0,512.5,0.01,3000,3,89,Yes,Personal,0,https://home.barclaycardus.com/cards/barclaycard-arrival-plus-world-elite-mastercard.html,Yes,48,8,91,87
Lufthansa,Barclays,Miles & More,35000,1.4,490,0,0,490,0,1000,0,79,No,Personal,0,https://home.barclaycardus.com/cards/lufthansa-miles-more-world-elite-mastercard.html,Yes,45,69,83,106
Hawaiian,Barclays,Hawaiian,35000,1.2,420,0,0,420,0,1000,3,89,No,Personal,0,https://www.hawaiianairlines.com/hawaiianmiles/credit-card,Yes,39,69,81,99
Hawaiian Business,Barclays,Hawaiian,35000,1.2,420,0,0,420,0,0,0,89,No,Business,0,0,No,39,100,81,111
NBA Amex,BBVA Compass,TripleDouble,20000,,,5% cashback twice a year,0,0,0,500,3,0,0,Personal,0.03,0,No,0,85,100,74
Venture One Rewards,Capital One,Venture,20000,1,200,0,0,200,0,1000,3,0,0,Personal,0,https://www.capitalone.com/credit-cards/ventureone/,Yes,19,69,100,86
Venture Rewards,Capital One,Venture,40000,1,400,0,0,400,0,3000,3,59,Yes,Personal,0,https://www.capitalone.com/credit-cards/venture/,Yes,37,8,94,78
QuicksilverOne Rewards,Capital One,Cash,0,100,0,0,0,0,0,0,0,39,No,Personal,0,0,No,0,100,92,77
Quicksilver Rewards,Capital One,Cash,100,100,100,0,0,100,0,500,3,0,0,Personal,0,0,No,9,85,100,83
Spark Cash,Capital One,Cash,500,100,500,0,0,500,0,4500,3,59,Yes,Business,0,0,No,46,0,94,84
United Club,Chase,Cash,100,100,100,0,0,100,0,0,3,395,No,Personal,0,0,0,9,100,17,56
Freedom Unlimited,Chase,UR,15000,1.9,285,0,0,285,0.0125,500,3,0,0,Personal,0.03,https://creditcards.chase.com/credit-cards/chase-freedom-unlimited,Yes,26,85,100,100
IHG,Chase,IHG,75000,0.6,450,0,0,450,0,2000,3,49,Yes,Personal,0,0,No,42,38,95,95
United Explorer,Chase,United,30000,1.45,435,0,0,435,0,1000,3,95,Yes,Personal,0,https://creditcards.chase.com/credit-cards/united-mileageplus-explorer,Yes,40,69,90,104
Marriott,Chase,Marriott,80000,0.75,600,0,0,600,0,3000,3,85,No,Personal,0,0,No,56,8,82,92
Freedom,Chase,UR,15000,1.9,285,0,0,285,0.0125,500,3,0,0,Personal,0.03,https://creditcards.chase.com/credit-cards/chase-freedom,Yes,26,85,100,100
Marriott Business,Chase,Marriott,100000,0.75,750,0,0,750,0,5000,3,99,No,Business,0,0,No,70,0,79,101
Southwest Plus,Chase,Southwest,0,1.45,0,0,0,0,0,2000,3,69,No,Personal,0.03,https://creditcards.chase.com/southwest/plus-credit-card,Yes,0,38,85,50
Southwest Premier Business,Chase,Southwest,50000,1.45,725,0,0,725,0,2000,3,99,No,Business,0,0,No,67,38,79,114
United Explorer Business,Chase,United,50000,1.45,725,0,0,725,0,2000,3,95,Yes,Business,0,0,No,67,38,90,119
British Airways,Chase,Avios,50000,1.4,700,0,0,700,0,2000,3,95,Yes,Personal,0,https://creditcards.chase.com/credit-cards/british-airways,Yes,65,38,90,116
Southwest Premier,Chase,Southwest,40000,1.45,580,0,0,580,0,2000,3,99,No,Personal,0,https://creditcards.chase.com/credit-cards/southwest-premier,Yes,54,38,79,101
Sapphire Preferred,Chase,UR,55000,1.9,1045,0,0,1045,0.0125,4000,3,95,Yes,Personal,0,https://creditcards.chase.com/credit-cards/chase-sapphire-preferred,Yes,97,0,90,133
Ink Plus,Chase,UR,60000,1.9,1140,0,0,1140,0,5000,3,95,No,Business,0,0,No,100,0,80,132
Ink Cash,Chase,Cash,300,100,300,0,0,300,0,3000,3,0,0,Business,0.03,0,No,28,8,100,71
Hyatt,Chase,Hyatt,2 Free Nights,1.65,,$50 Statement Credit,50,0,0,1000,3,75,Yes,Personal,0,0,No,0,69,92,65
Ritz Carlton,Chase,Marriott,2 Free Nights,0.75,,$300 airline credit,300,0,0,2000,3,395,No,Personal,0,0,No,0,38,17,22
Fairmont,Chase,Fairmont,2 Free Nights,,,0,0,0,0,3000,3,95,No,Personal,0,0,No,0,8,80,35
ThankYou Preferred Student,Citi,TYP,2500,1.65,41.25,0,0,41.25,0,500,3,0,0,Personal,0.03,0,No,4,85,100,78
ThankYou Preferred,Citi,TYP,20000,1.65,330,0,0,330,0,1500,3,0,0,Personal,0.03,0,0,31,54,100,92
AAdvantage Gold,Citi,AA,25000,1.5,375,0,0,375,0,750,3,50,Yes,Personal,0.03,0,0,35,77,95,103
Hilton Visa,Citi,Hilton,75000,0.45,337.5,0,0,337.5,0,1000,4,0,0,Personal,0.03,0,No,31,69,100,99
ThankYou Premier,Citi,TYP,0,1.65,0,0,0,0,0.0125,3000,3,95,Yes,Personal,0,0,No,0,8,90,39
AAdvantage Platinum Business,Citi,AA,50000,1.5,750,0,0,750,0,3000,3,95,Yes,Business,0.03,0,No,70,8,90,109
AAdvantage Executive,Citi,AA,50000,1.5,750,$100 Global Entry,0,750,0,5000,3,450,No,Personal,0,0,No,70,0,5,72
AAdvantage Platinum,Citi,AA,50000,1.5,750,0,0,750,0,3000,3,95,Yes,Personal,0.03,https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-aadvantage-platinum-elite-credit-card,Yes,70,8,90,109
Prestige,Citi,TYP,50000,1.65,825,$250 flight reimbursement + $100 Global Entry,250,1075,0.0125,2000,3,450,No,Personal,0,https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-prestige-card,Yes,100,38,5,117
Expedia+,Citi,Expedia,15000,,,0,0,0,0,1000,3,0,0,Personal,0.03,0,No,0,69,100,68
Expedia+ Voyager,Citi,Expedia,25000,,,0,0,0,0,2000,3,95,No,Personal,0,0,No,0,38,80,47
Hilton Reserve,Citi,Hilton,2 Free Nights,0.45,,0,0,0,0,2500,3,95,No,Personal,0,0,No,0,23,80,41
Virgin America,Comenity Capital,Virgin America,10000,1.95,195,Companion Pass,0,195,0,1000,3,49,No,Personal,0.03,0,No,18,69,90,82
Virgin America Premium,Comenity Capital,Virgin America,15000,1.95,292.5,Companion Pass,0,292.5,0,1000,3,149,No,Personal,0,0,No,27,69,69,82
Discover It,Discover,Cash,0,100,0,0,0,0,0,0,3,0,0,Personal,0,0,No,0,100,100,80
Discover It Miles,Discover,Cash,0,100,0,0,0,0,0,0,3,0,0,Personal,0,0,No,0,100,100,80
Aeroplan,TD bank,Aeroplan,25000,1.4,350,0,0,350,0,1000,3,95,Yes,Personal,0.03,0,No,32,69,90,96
FlexPerks Select (Visa),US Bank,FlexPerks,10000,1.66,166,0,0,166,0,1000,4,0,0,Personal,0.03,0,0,15,69,100,83
FlexPerks Select+ (Amex),US Bank,FlexPerks,10000,1.66,166,0,0,166,0,1000,4,0,0,Personal,0.03,https://www.usbank.com/credit-cards/flexperks-select-plus-american-express-card.html,Yes,15,69,100,83
FlexPerks Travel Rewards (Visa),US Bank,FlexPerks,20000,1.66,332,0,0,332,0,3500,4,49,Yes,Personal,0,0,0,31,0,95,69
FlexPerks Travel Rewards (Amex),US Bank,FlexPerks,20000,1.66,332,2X Restaurants,0,332,0,3500,4,49,Yes,Personal,0,0,0,31,0,95,69
Club Carlson Premier,US Bank,Carlson,85000,0.4,340,0,0,340,0,2500,3,75,No,Personal,0.03,0,0,32,23,84,74
Club Carlson Business,US Bank,Carlson,85000,0.4,340,0,0,340,0,2500,3,75,No,Business,0.03,0,No,32,23,84,74
Club Carlson,US Bank,Carlson,60000,0.4,240,0,0,240,0,1500,3,50,No,Personal,0.03,0,No,22,54,89,80
LANPASS,US Bank,LANPASS,30000,,,0,0,0,0,2500,4,75,Yes,Personal,0.03,0,No,0,23,92,46
Wells Fargo Propel 365,Wells Fargo,Wells Fargo,20000,,,0,0,0,0,3000,3,45,Yes,Personal,0,0,No,0,8,95,41
Wells Fargo Propel World,Wells Fargo,Wells Fargo,40000,,,$100 airline credit,100,0,0,3000,3,175,Yes,Personal,0,0,No,0,8,82,36
Sapphire Reserve,Chase,UR,100000,1.9,1900,$300 annual travel credit,300,2200,0.015,4000,3,450,No,Personal,0,https://creditcards.chase.com/a1/sapphire/reserve,Yes,100,0,5,102
