cardName,issuerName,rewardProvider,curBonusPts,centValueOfPoint,curBonusVal,otherPerks,minSpendVal,minSpendMonths,annualFee,annualFeeWaived,personalOrBiz,ftf,useOnCt,curBonusPrctl,minSpendPrctl,annualFeePrctl,overallRank
United Club,Chase,Cash,100,100,100,0,0,3,395,No,Personal,0,0,14,100,17,60
Freedom Unlimited,Chase,UR,15000,1.9,285,0,500,3,0,0,Personal,0.03,Yes,39,86,100,113
IHG,Chase,IHG,75000,0.6,450,0,2000,3,49,Yes,Personal,0,Yes,61,43,90,114
United Explorer,Chase,United,35000,1.45,507.5,0,2000,3,95,Yes,Personal,0,Yes,69,43,80,118
Marriott,Chase,Marriott,80000,0.75,600,0,3000,3,85,No,Personal,0,Yes,81,14,82,120
Freedom,Chase,UR,15000,1.9,285,0,500,3,0,0,Personal,0.03,Yes,39,86,100,113
Marriott Business,Chase,Marriott,100000,0.75,750,0,5000,3,99,No,Business,0,No,100,0,79,132
Southwest Plus,Chase,Southwest,50000,1.45,725,0,2000,3,69,No,Personal,0.03,Yes,98,43,85,149
Southwest Premier Business,Chase,Southwest,50000,1.45,725,0,2000,3,99,No,Business,0,No,98,43,79,147
United Explorer Business,Chase,United,50000,1.45,725,0,2000,3,95,Yes,Business,0,No,98,43,80,147
British Airways,Chase,Avios,50000,1.4,700,0,2000,3,95,Yes,Personal,0,Yes,95,43,80,144
Southwest Premier,Chase,Southwest,50000,1.45,725,0,2000,3,99,No,Personal,0,Yes,98,43,79,147
Sapphire Preferred,Chase,UR,55000,1.9,1045,0,4000,3,95,Yes,Personal,0,Yes,100,0,80,132
Ink Plus,Chase,UR,60000,1.9,1140,0,5000,3,95,No,Business,0,No,100,0,80,132
Ink Cash,Chase,Cash,300,100,300,0,3000,3,0,0,Business,0.03,No,41,14,100,86
Hyatt,Chase,Hyatt,2 Free Nights,1.65,,$50 Statement Credit,1000,3,75,Yes,Personal,0,No,0,71,84,62
Ritz Carlton,Chase,Marriott,2 Free Nights,0.75,,$300 airline credit,2000,3,395,No,Personal,0,No,0,43,17,24
Fairmont,Chase,Fairmont,2 Free Nights,,,0,3000,3,95,No,Personal,0,No,0,14,80,38
ThankYou Preferred Student,Citi,TYP,2500,1.65,41.25,0,500,3,0,0,Personal,0.03,No,6,86,100,80
ThankYou Preferred,Citi,TYP,20000,1.65,330,0,1500,3,0,0,Personal,0.03,0,45,57,100,107
AAdvantage Gold,Citi,AA,25000,1.5,375,0,750,3,50,Yes,Personal,0.03,0,51,79,89,118
Hilton Visa,Citi,Hilton,75000,0.45,337.5,0,1000,4,0,0,Personal,0.03,No,46,71,100,114
ThankYou Premier,Citi,TYP,40000,1.65,660,0,3000,3,95,Yes,Personal,0,Yes,89,14,80,127
AAdvantage Platinum Business,Citi,AA,50000,1.5,750,0,3000,3,95,Yes,Business,0.03,No,100,14,80,138
AAdvantage Executive,Citi,AA,50000,1.5,750,$100 Global Entry,5000,3,450,No,Personal,0,Yes,100,0,5,102
AAdvantage Platinum,Citi,AA,50000,1.5,750,0,3000,3,95,Yes,Personal,0.03,Yes,100,14,80,138
Prestige,Citi,TYP,50000,1.65,825,$250 flight reimbursement + $100 Global Entry,2000,3,450,No,Personal,0,Yes,100,43,5,119
Expedia+,Citi,Expedia,15000,,,0,1000,3,0,0,Personal,0.03,No,0,71,100,69
Expedia+ Voyager,Citi,Expedia,25000,,,0,2000,3,95,No,Personal,0,No,0,43,80,49
Hilton Reserve,Citi,Hilton,2 Free Nights,0.45,,0,2500,3,95,No,Personal,0,No,0,29,80,43
Virgin America,Comenity Capital,Virgin America,10000,1.95,195,Companion Pass,1000,3,49,No,Personal,0.03,No,26,71,90,91
Virgin America Premium,Comenity Capital,Virgin America,15000,1.95,292.5,Companion Pass,1000,3,149,No,Personal,0,No,40,71,69,96
Discover It,Discover,Cash,0,100,0,0,0,3,0,0,Personal,0,No,0,100,100,80
Discover It Miles,Discover,Cash,0,100,0,0,0,3,0,0,Personal,0,No,0,100,100,80
Aeroplan,TD bank,Aeroplan,25000,1.4,350,0,1000,3,95,Yes,Personal,0.03,No,47,71,80,108
FlexPerks Select (Visa),US Bank,FlexPerks,10000,1.66,166,0,1000,4,0,0,Personal,0.03,0,22,71,100,91
FlexPerks Select+ (Amex),US Bank,FlexPerks,10000,1.66,166,0,1000,4,0,0,Personal,0.03,Yes,22,71,100,91
FlexPerks Travel Rewards (Visa),US Bank,FlexPerks,20000,1.66,332,0,3500,4,49,Yes,Personal,0,0,45,0,90,81
FlexPerks Travel Rewards (Amex),US Bank,FlexPerks,20000,1.66,332,2X Restaurants,3500,4,49,Yes,Personal,0,0,45,0,90,81
Club Carlson Premier,US Bank,Carlson,85000,0.4,340,0,2500,3,75,No,Personal,0.03,0,46,29,84,91
Club Carlson Business,US Bank,Carlson,85000,0.4,340,0,2500,3,75,No,Business,0.03,No,46,29,84,91
Club Carlson,US Bank,Carlson,60000,0.4,240,0,1500,3,50,No,Personal,0.03,Yes,32,57,89,91
LANPASS,US Bank,LANPASS,30000,,,0,2500,4,75,Yes,Personal,0.03,No,0,29,84,45
Wells Fargo Propel 365,Wells Fargo,Wells Fargo,20000,,,0,3000,3,45,Yes,Personal,0,No,0,14,91,42
Wells Fargo Propel World,Wells Fargo,Wells Fargo,40000,,,$100 airline credit,3000,3,175,Yes,Personal,0,No,0,14,63,31
Sapphire Reserve,Chase,UR,100000,1.9,1900,0,4000,3,450,Yes,Personal,0,Yes,100,0,5,102
